950,4596,73,576,37,33,1.00,50,0.50,Unknown,0,0,0
1020,4596,136,495,37,33,1.00,50,0.50,Unknown,0,0,0
1050,4596,164,462,37,33,1.00,50,0.50,Unknown,0,0,0
5902,4597,447,454,30,34,1.00,22,0.50,Capreolus capreolus (Roe deer),0,2,0
5922,4597,477,450,30,34,1.00,22,0.50,Capreolus capreolus (Roe deer),0,2,0
5952,4597,521,449,30,34,1.00,22,0.50,Capreolus capreolus (Roe deer),0,2,0
6062,4597,664,455,30,34,1.00,22,0.50,Capreolus capreolus (Roe deer),0,2,0
7691,4598,333,221,38,33,1.00,49,1.00,Unknown,0,0,0
7751,4598,437,223,38,33,1.00,49,1.00,Unknown,0,0,0
7781,4598,482,223,38,33,1.00,49,1.00,Unknown,0,0,0
7831,4598,560,225,38,33,1.00,49,1.00,Unknown,0,0,0
8679,4599,73,162,49,44,1.00,22,0.50,Capreolus capreolus (Roe deer),0,2,0
8749,4599,183,175,49,44,1.00,22,0.50,Capreolus capreolus (Roe deer),0,2,0
8799,4599,259,207,49,44,1.00,22,0.50,Capreolus capreolus (Roe deer),0,2,0
8859,4599,330,268,49,44,1.00,22,0.50,Capreolus capreolus (Roe deer),0,2,0
8919,4599,380,353,49,44,1.00,22,0.50,Capreolus capreolus (Roe deer),0,2,0
8959,4599,394,411,49,44,1.00,22,0.50,Capreolus capreolus (Roe deer),0,2,0
9009,4599,398,494,49,44,1.00,22,0.50,Capreolus capreolus (Roe deer),0,2,0
9039,4599,394,536,49,44,1.00,22,0.50,Capreolus capreolus (Roe deer),0,2,0
9179,4599,381,777,49,44,1.00,22,0.50,Capreolus capreolus (Roe deer),0,2,0
9219,4599,378,882,49,44,1.00,22,0.50,Capreolus capreolus (Roe deer),0,2,0
10282,4600,452,81,42,43,1.00,22,0.50,Capreolus capreolus (Roe deer),0,2,0
10362,4600,444,195,42,43,1.00,22,0.50,Capreolus capreolus (Roe deer),0,2,0
10462,4600,443,353,42,43,1.00,22,0.50,Capreolus capreolus (Roe deer),0,2,0
10552,4600,434,495,42,43,1.00,22,0.50,Capreolus capreolus (Roe deer),0,2,0
10672,4600,429,706,42,43,1.00,22,0.50,Capreolus capreolus (Roe deer),0,2,0
10752,4600,420,883,42,43,1.00,22,0.50,Capreolus capreolus (Roe deer),0,2,0
19677,4603,999,402,25,37,1.00,22,0.50,Capreolus capreolus (Roe deer),0,2,0
19677,4604,785,93,32,30,1.00,49,1.00,Unknown,0,0,0
19707,4603,992,441,32,37,1.00,22,0.50,Capreolus capreolus (Roe deer),0,2,0
19707,4604,778,132,32,30,1.00,49,1.00,Unknown,0,0,0
19747,4602,729,82,23,26,1.00,22,0.50,Capreolus capreolus (Roe deer),0,2,0
19747,4603,989,495,32,37,1.00,22,0.50,Capreolus capreolus (Roe deer),0,2,0
19747,4604,775,186,32,30,1.00,49,1.00,Unknown,0,0,0
19767,4602,726,113,23,26,1.00,22,0.50,Capreolus capreolus (Roe deer),0,2,0
